0,1,2,01,12,02,psi2,tau1,tau2,psi’2,rho1,S01,T01,T1,T’1,un_poly
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}']"
1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 1}']"
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 0}']"
1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}']"
1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 2, (1,): 2, (2,): 1}']"
0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}']"
1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}']"
0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 1}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 2, (1,): 2, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}']"
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 0}']"
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}']"
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 0}']"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}']"
0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"['{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 0}']"
0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 0}']"
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}']"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 1}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 2, (1,): 1, (2,): 0}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 1}', '{(0,): 2, (1,): 0, (2,): 1}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 2, (2,): 1}', '{(0,): 1, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 2, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 2, (2,): 0}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 0}']"
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}']"
0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
